Date,Available Beds,Wasted Beds,Daily Efficiency,Cumulative Available Beds,Cumulative Wasted Beds,Cumulative Efficiency
2023-08-18,26.0,0.0,1.0,5934.0,171.0,0.9711830131445905
2023-08-19,26.0,0.0,1.0,5960.0,171.0,0.9713087248322148
2023-08-20,26.0,0.0,1.0,5986.0,171.0,0.9714333444704311
2023-08-21,26.0,0.0,1.0,6012.0,171.0,0.9715568862275449
2023-08-22,26.0,0.0,1.0,6038.0,171.0,0.9716793640278237
2023-08-23,26.0,0.0,1.0,6064.0,171.0,0.9718007915567283
2023-08-24,26.0,0.0,1.0,6090.0,171.0,0.9719211822660099
2023-08-25,24.0,0.0,1.0,6114.0,171.0,0.9720314033366045
2023-08-26,26.0,3.0,0.8846153846153846,6140.0,174.0,0.9716612377850163
2023-08-27,26.0,3.0,0.8846153846153846,6166.0,177.0,0.9712941939669153
2023-08-28,26.0,3.0,0.8846153846153846,6192.0,180.0,0.9709302325581395
2023-08-29,26.0,1.0,0.9615384615384616,6218.0,181.0,0.970890961724027
2023-08-30,24.0,0.0,1.0,6242.0,181.0,0.9710028836911246
2023-08-31,24.0,1.0,0.9583333333333334,6266.0,182.0,0.970954356846473
2023-09-01,26.0,1.0,0.9615384615384616,6292.0,183.0,0.9709154481881754
2023-09-02,26.0,0.0,1.0,6318.0,183.0,0.9710351377018044
2023-09-03,26.0,1.0,0.9615384615384616,6344.0,184.0,0.9709962168978562
2023-09-04,26.0,1.0,0.9615384615384616,6370.0,185.0,0.9709576138147566
2023-09-05,26.0,1.0,0.9615384615384616,6396.0,186.0,0.9709193245778611
2023-09-06,26.0,0.0,1.0,6422.0,186.0,0.971037060105886
2023-09-07,26.0,0.0,1.0,6448.0,186.0,0.9711538461538461
2023-09-08,26.0,0.0,1.0,6474.0,186.0,0.9712696941612604
2023-09-09,26.0,0.0,1.0,6500.0,186.0,0.9713846153846154
2023-09-10,26.0,0.0,1.0,6526.0,186.0,0.9714986209010114
2023-09-11,26.0,0.0,1.0,6552.0,186.0,0.9716117216117216
2023-09-12,26.0,0.0,1.0,6578.0,186.0,0.9717239282456673
2023-09-13,26.0,0.0,1.0,6604.0,186.0,0.9718352513628105
2023-09-14,26.0,0.0,1.0,6630.0,186.0,0.971945701357466
2023-09-15,26.0,0.0,1.0,6656.0,186.0,0.9720552884615384
2023-09-16,26.0,0.0,1.0,6682.0,186.0,0.9721640227476803
2023-09-17,26.0,0.0,1.0,6708.0,186.0,0.9722719141323792
2023-09-18,26.0,0.0,1.0,6734.0,186.0,0.9723789723789724
2023-09-19,26.0,0.0,1.0,6760.0,186.0,0.9724852071005917
2023-09-20,26.0,0.0,1.0,6786.0,186.0,0.9725906277630415
2023-09-21,22.0,0.0,1.0,6808.0,186.0,0.9726792009400705
2023-09-22,20.0,0.0,1.0,6828.0,186.0,0.9727592267135325
2023-09-23,26.0,1.0,0.9615384615384616,6854.0,187.0,0.9727166618033265
2023-09-24,26.0,1.0,0.9615384615384616,6880.0,188.0,0.9726744186046512
2023-09-25,21.0,0.0,1.0,6901.0,188.0,0.9727575713664687
2023-09-26,26.0,6.0,0.7692307692307693,6927.0,194.0,0.9719936480438862
2023-09-27,26.0,6.0,0.7692307692307693,6953.0,200.0,0.9712354379404573
2023-09-28,26.0,4.0,0.8461538461538461,6979.0,204.0,0.9707694512107752
2023-09-29,26.0,3.0,0.8846153846153846,7005.0,207.0,0.9704496788008565
2023-09-30,26.0,1.0,0.9615384615384616,7031.0,208.0,0.970416725928033
2023-10-01,26.0,1.0,0.9615384615384616,7057.0,209.0,0.9703840158707666
2023-10-02,26.0,1.0,0.9615384615384616,7083.0,210.0,0.9703515459551038
2023-10-03,26.0,0.0,1.0,7109.0,210.0,0.9704599803066536
2023-10-04,26.0,0.0,1.0,7135.0,210.0,0.9705676243868255
2023-10-05,26.0,0.0,1.0,7161.0,210.0,0.9706744868035191
2023-10-06,26.0,0.0,1.0,7187.0,210.0,0.9707805760400724
2023-10-07,26.0,3.0,0.8846153846153846,7213.0,213.0,0.9704699847497574
2023-10-08,26.0,3.0,0.8846153846153846,7239.0,216.0,0.9701616245337754
2023-10-09,26.0,3.0,0.8846153846153846,7265.0,219.0,0.9698554714384033
2023-10-10,26.0,3.0,0.8846153846153846,7291.0,222.0,0.9695515018515979
2023-10-11,26.0,1.0,0.9615384615384616,7317.0,223.0,0.9695230285636189
2023-10-12,26.0,1.0,0.9615384615384616,7343.0,224.0,0.9694947569113441
2023-10-13,26.0,2.0,0.9230769230769231,7369.0,226.0,0.9693309811371964
2023-10-14,26.0,1.0,0.9615384615384616,7395.0,227.0,0.9693035835023665
2023-10-15,26.0,1.0,0.9615384615384616,7421.0,228.0,0.9692763778466514
2023-10-16,26.0,1.0,0.9615384615384616,7447.0,229.0,0.9692493621592587
2023-10-17,26.0,1.0,0.9615384615384616,7473.0,230.0,0.9692225344573799
2023-10-18,26.0,1.0,0.9615384615384616,7499.0,231.0,0.9691958927857047
2023-10-19,26.0,1.0,0.9615384615384616,7525.0,232.0,0.9691694352159469
2023-10-20,26.0,0.0,1.0,7551.0,232.0,0.9692755926367369
2023-10-21,26.0,1.0,0.9615384615384616,7577.0,233.0,0.9692490431569223
2023-10-22,26.0,1.0,0.9615384615384616,7603.0,234.0,0.9692226752597659
2023-10-23,26.0,1.0,0.9615384615384616,7629.0,235.0,0.9691964870887403
2023-10-24,26.0,0.0,1.0,7655.0,235.0,0.969301110385369
2023-10-25,26.0,2.0,0.9230769230769231,7681.0,237.0,0.9691446426246583
2023-10-26,26.0,2.0,0.9230769230769231,7707.0,239.0,0.9689892305696121
2023-10-27,26.0,2.0,0.9230769230769231,7733.0,241.0,0.9688348635717057
2023-10-28,26.0,2.0,0.9230769230769231,7759.0,243.0,0.968681531125145
2023-10-29,26.0,2.0,0.9230769230769231,7785.0,245.0,0.968529222864483
2023-10-30,26.0,2.0,0.9230769230769231,7811.0,247.0,0.968377928562284
2023-10-31,26.0,2.0,0.9230769230769231,7837.0,249.0,0.9682276381268342
2023-11-01,26.0,3.0,0.8846153846153846,7863.0,252.0,0.9679511636779855
2023-11-02,26.0,2.0,0.9230769230769231,7889.0,254.0,0.9678032703764736
2023-11-03,26.0,2.0,0.9230769230769231,7915.0,256.0,0.9676563487049905
2023-11-04,26.0,2.0,0.9230769230769231,7941.0,258.0,0.9675103891197582
2023-11-05,26.0,2.0,0.9230769230769231,7967.0,260.0,0.9673653822015815
2023-11-06,26.0,2.0,0.9230769230769231,7993.0,262.0,0.9672213186538221
2023-11-07,26.0,2.0,0.9230769230769231,8019.0,264.0,0.9670781893004116
2023-11-08,26.0,1.0,0.9615384615384616,8045.0,265.0,0.9670602858918583
2023-11-09,26.0,2.0,0.9230769230769231,8071.0,267.0,0.9669185974476521
2023-11-10,26.0,1.0,0.9615384615384616,8097.0,268.0,0.9669013214770903
2023-11-11,26.0,0.0,1.0,8123.0,268.0,0.9670072633263572
2023-11-12,26.0,0.0,1.0,8149.0,268.0,0.9671125291446804
2023-11-13,26.0,0.0,1.0,8175.0,268.0,0.967217125382263
2023-11-14,26.0,1.0,0.9615384615384616,8201.0,269.0,0.9671991220582856
2023-11-15,26.0,1.0,0.9615384615384616,8227.0,270.0,0.9671812325270451
2023-11-16,26.0,0.0,1.0,8253.0,270.0,0.9672846237731734
2023-11-17,26.0,0.0,1.0,8279.0,270.0,0.9673873656238676
2023-11-18,26.0,1.0,0.9615384615384616,8305.0,271.0,0.9673690547862733
2023-11-19,26.0,1.0,0.9615384615384616,8331.0,272.0,0.9673508582403073
2023-11-20,26.0,1.0,0.9615384615384616,8357.0,273.0,0.9673327749192294
2023-11-21,26.0,1.0,0.9615384615384616,8383.0,274.0,0.9673148037695336
2023-11-22,26.0,1.0,0.9615384615384616,8409.0,275.0,0.9672969437507433
2023-11-23,26.0,0.0,1.0,8435.0,275.0,0.967397747480735
2023-11-24,26.0,0.0,1.0,8461.0,275.0,0.9674979316865618
2023-11-25,26.0,1.0,0.9615384615384616,8487.0,276.0,0.967479674796748
2023-11-26,26.0,0.0,1.0,8513.0,276.0,0.9675789968283801
2023-11-27,26.0,0.0,1.0,8539.0,276.0,0.9676777140180349
2023-11-28,26.0,0.0,1.0,8565.0,276.0,0.9677758318739055
2023-11-29,26.0,0.0,1.0,8591.0,276.0,0.9678733558375043
2023-11-30,26.0,0.0,1.0,8617.0,276.0,0.9679702912846698
2023-12-01,25.0,1.0,0.96,8642.0,277.0,0.967947234436473
2023-12-02,26.0,7.0,0.7307692307692307,8668.0,284.0,0.9672358098754038
2023-12-03,26.0,7.0,0.7307692307692307,8694.0,291.0,0.966528640441684
2023-12-04,26.0,7.0,0.7307692307692307,8720.0,298.0,0.9658256880733945
2023-12-05,26.0,4.0,0.8461538461538461,8746.0,302.0,0.9654699291104505
2023-12-06,26.0,4.0,0.8461538461538461,8772.0,306.0,0.9651162790697675
2023-12-07,26.0,4.0,0.8461538461538461,8798.0,310.0,0.964764719254376
2023-12-08,26.0,1.0,0.9615384615384616,8824.0,311.0,0.9647552130553038
2023-12-09,26.0,2.0,0.9230769230769231,8850.0,313.0,0.964632768361582
2023-12-10,26.0,2.0,0.9230769230769231,8876.0,315.0,0.9645110410094637
2023-12-11,26.0,1.0,0.9615384615384616,8902.0,316.0,0.9645023590204449
2023-12-12,26.0,1.0,0.9615384615384616,8928.0,317.0,0.9644937275985663
2023-12-13,26.0,2.0,0.9230769230769231,8954.0,319.0,0.9643734643734644
2023-12-14,26.0,3.0,0.8846153846153846,8980.0,322.0,0.9641425389755011
2023-12-15,26.0,2.0,0.9230769230769231,9006.0,324.0,0.9640239840106596
2023-12-16,26.0,0.0,1.0,9032.0,324.0,0.9641275465013286
